recipe_id,name,input_resources,output_resource,required_equipment,stage,prerequisite_recipes,production_steps,common_bottlenecks
recipe_smelt_iron,철괴 제작 공정,resource_iron_ore:2,resource_iron_ingot:1,equipment_smelter,smelting,,철광석 투입 > 제련기 가공 > 철괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_iron,철 분말 제작 공정,resource_iron_ingot:1,resource_iron_powder:2,equipment_grinder,grinding,recipe_smelt_iron,철괴 투입 > 분쇄기 가공 > 철 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_copper,구리괴 제작 공정,resource_copper_ore:2,resource_copper_ingot:1,equipment_smelter,smelting,,구리광석 투입 > 제련기 가공 > 구리괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_copper,구리 분말 제작 공정,resource_copper_ingot:1,resource_copper_powder:2,equipment_grinder,grinding,recipe_smelt_copper,구리괴 투입 > 분쇄기 가공 > 구리 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_zinc,아연괴 제작 공정,resource_zinc_ore:2,resource_zinc_ingot:1,equipment_smelter,smelting,,아연광석 투입 > 제련기 가공 > 아연괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_zinc,아연 분말 제작 공정,resource_zinc_ingot:1,resource_zinc_powder:2,equipment_grinder,grinding,recipe_smelt_zinc,아연괴 투입 > 분쇄기 가공 > 아연 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_lead,납괴 제작 공정,resource_lead_ore:2,resource_lead_ingot:1,equipment_smelter,smelting,,납광석 투입 > 제련기 가공 > 납괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_lead,납 분말 제작 공정,resource_lead_ingot:1,resource_lead_powder:2,equipment_grinder,grinding,recipe_smelt_lead,납괴 투입 > 분쇄기 가공 > 납 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_tin,주석괴 제작 공정,resource_tin_ore:2,resource_tin_ingot:1,equipment_smelter,smelting,,주석광석 투입 > 제련기 가공 > 주석괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_tin,주석 분말 제작 공정,resource_tin_ingot:1,resource_tin_powder:2,equipment_grinder,grinding,recipe_smelt_tin,주석괴 투입 > 분쇄기 가공 > 주석 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_aluminum,알루미늄괴 제작 공정,resource_aluminum_ore:2,resource_aluminum_ingot:1,equipment_smelter,smelting,,알루미늄광석 투입 > 제련기 가공 > 알루미늄괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_aluminum,알루미늄 분말 제작 공정,resource_aluminum_ingot:1,resource_aluminum_powder:2,equipment_grinder,grinding,recipe_smelt_aluminum,알루미늄괴 투입 > 분쇄기 가공 > 알루미늄 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_nickel,니켈괴 제작 공정,resource_nickel_ore:2,resource_nickel_ingot:1,equipment_smelter,smelting,,니켈광석 투입 > 제련기 가공 > 니켈괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_nickel,니켈 분말 제작 공정,resource_nickel_ingot:1,resource_nickel_powder:2,equipment_grinder,grinding,recipe_smelt_nickel,니켈괴 투입 > 분쇄기 가공 > 니켈 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_tungsten,텅스텐괴 제작 공정,resource_tungsten_ore:2,resource_tungsten_ingot:1,equipment_smelter,smelting,,텅스텐광석 투입 > 제련기 가공 > 텅스텐괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_tungsten,텅스텐 분말 제작 공정,resource_tungsten_ingot:1,resource_tungsten_powder:2,equipment_grinder,grinding,recipe_smelt_tungsten,텅스텐괴 투입 > 분쇄기 가공 > 텅스텐 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_titanium,티타늄괴 제작 공정,resource_titanium_ore:2,resource_titanium_ingot:1,equipment_smelter,smelting,,티타늄광석 투입 > 제련기 가공 > 티타늄괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_titanium,티타늄 분말 제작 공정,resource_titanium_ingot:1,resource_titanium_powder:2,equipment_grinder,grinding,recipe_smelt_titanium,티타늄괴 투입 > 분쇄기 가공 > 티타늄 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_magnesium,마그네슘괴 제작 공정,resource_magnesium_ore:2,resource_magnesium_ingot:1,equipment_smelter,smelting,,마그네슘광석 투입 > 제련기 가공 > 마그네슘괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_magnesium,마그네슘 분말 제작 공정,resource_magnesium_ingot:1,resource_magnesium_powder:2,equipment_grinder,grinding,recipe_smelt_magnesium,마그네슘괴 투입 > 분쇄기 가공 > 마그네슘 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_gold,금괴 제작 공정,resource_gold_ore:2,resource_gold_ingot:1,equipment_smelter,smelting,,금광석 투입 > 제련기 가공 > 금괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_gold,금 분말 제작 공정,resource_gold_ingot:1,resource_gold_powder:2,equipment_grinder,grinding,recipe_smelt_gold,금괴 투입 > 분쇄기 가공 > 금 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_smelt_silver,은괴 제작 공정,resource_silver_ore:2,resource_silver_ingot:1,equipment_smelter,smelting,,은광석 투입 > 제련기 가공 > 은괴 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
recipe_crush_silver,은 분말 제작 공정,resource_silver_ingot:1,resource_silver_powder:2,equipment_grinder,grinding,recipe_smelt_silver,은괴 투입 > 분쇄기 가공 > 은 분말 출력,issue_no_input;issue_no_power;issue_output_full;issue_conveyor_blocked;issue_wrong_machine_type;issue_wrong_material_state
