MachineName,MachineType,DisplayName,Level,CostType,CostQty,Durability,Power,InputPortCnt,InputBufCnt,OutputPortCnt,OutputBufCnt,Xlen,Ylen,ImgAsset,StaticMeshAsset,MaterialAsset
Smelter_Lv1,Smelter,제련기,1,iron_ingot,10,1000,10,1,1,1,1,5,5,/Game/Assets/UIImg/Machine/Smelter_Lv1.Smelter_Lv1,/Game/SSR/Machine/Smelter/Lv1/SM_Smelter_Lv1.SM_Smelter_Lv1,/Game/SSR/Machine/Smelter/Lv1/M_Smelter_Lv1.M_Smelter_Lv1
Smelter_Lv2,Smelter,제련기,2,iron_ingot,10,1000,10,1,1,1,1,5,5,/Game/Assets/UIImg/Machine/Smelter_Lv2.Smelter_Lv2,/Game/SSR/Machine/Smelter/Lv2/SM_Smelter_Lv2.SM_Smelter_Lv2,/Game/SSR/Machine/Smelter/Lv2/M_Smelter_Lv2.M_Smelter_Lv2
Smelter_Lv3,Smelter,제련기,3,iron_ingot,10,1000,10,1,1,1,1,5,5,/Game/Assets/UIImg/Machine/Smelter_Lv3.Smelter_Lv3,/Game/SSR/Machine/Smelter/Lv3/SM_Smlter_Lv3.SM_Smlter_Lv3,/Game/SSR/Machine/Smelter/Lv3/M_Smelter_Lv3.M_Smelter_Lv3
Grinder_Lv1,Grinder,분쇄기,1,iron_ingot,10,1000,10,1,1,1,1,5,5,/Game/Assets/UIImg/Machine/Grinder_Lv1.Grinder_Lv1,/Game/SSR/Machine/Grinder/Lv1/SM_Grinder_Lv1.SM_Grinder_Lv1,/Game/SSR/Machine/Grinder/Lv1/M_Grinder_Lv1.M_Grinder_Lv1
Grinder_Lv2,Grinder,분쇄기,2,iron_ingot,10,1000,10,1,1,1,1,5,5,/Game/Assets/UIImg/Machine/Grinder_Lv2.Grinder_Lv2,/Game/SSR/Machine/Grinder/Lv2/SM_Grinder_Lv2.SM_Grinder_Lv2,/Game/SSR/Machine/Grinder/Lv2/M_Grinder_Lv2.M_Grinder_Lv2
Grinder_Lv3,Grinder,분쇄기,3,iron_ingot,10,1000,10,1,1,1,1,5,5,/Game/Assets/UIImg/Machine/Grinder_Lv3.Grinder_Lv3,/Game/SSR/Machine/Grinder/Lv3/SM_Grinder_Lv3.SM_Grinder_Lv3,/Game/SSR/Machine/Grinder/Lv3/M_Grinder_Lv3.M_Grinder_Lv3
MinerMachine_Lv1,MinerMachine,채굴기,1,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/MinerMachine_Lv1.MinerMachine_Lv1,/Game/SSR/Machine/MinerMachine/Lv1/SM_MinerMachine_Lv1.SM_MinerMachine_Lv1,/Game/SSR/Machine/MinerMachine/Lv1/M_MinerMachine_Lv1.M_MinerMachine_Lv1
MinerMachine_Lv2,MinerMachine,채굴기,2,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/MinerMachine_Lv2.MinerMachine_Lv2,/Game/SSR/Machine/MinerMachine/Lv2/SM_MinerMachine_Lv2.SM_MinerMachine_Lv2,/Game/SSR/Machine/MinerMachine/Lv2/M_MinerMachine_Lv2.M_MinerMachine_Lv2
MinerMachine_Lv3,MinerMachine,채굴기,3,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/MinerMachine_Lv3.MinerMachine_Lv3,/Game/SSR/Machine/MinerMachine/Lv3/SM_MinerMachine_Lv3.SM_MinerMachine_Lv3,/Game/SSR/Machine/MinerMachine/Lv3/M_MinerMachine_Lv3.M_MinerMachine_Lv3
Pump_Lv1,Pump,펌프,1,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/Pump_Lv1.Pump_Lv1,/Game/SSR/Machine/Pump/Lv1/SM_Pump_Lv1.SM_Pump_Lv1,/Game/SSR/Machine/Pump/Lv1/M_Pump_Lv1.M_Pump_Lv1
Pump_Lv2,Pump,펌프,2,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/Pump_Lv2.Pump_Lv2,/Game/SSR/Machine/Pump/Lv2/SM_Pump_Lv2.SM_Pump_Lv2,/Game/SSR/Machine/Pump/Lv2/M_Pump_Lv2.M_Pump_Lv2
Pump_Lv3,Pump,펌프,3,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/Pump_Lv3.Pump_Lv3,/Game/SSR/Machine/Pump/Lv3/SM_Pump_Lv3.SM_Pump_Lv3,/Game/SSR/Machine/Pump/Lv3/M_Pump_Lv3.M_Pump_Lv3
AirCompressor_Lv1,AirCompressor,공기 압축기,1,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/AirCompressor_Lv1.AirCompressor_Lv1,/Game/SSR/Machine/AirCompressor/Lv1/SM_AirCompressor_Lv1.SM_AirCompressor_Lv1,/Game/SSR/Machine/AirCompressor/Lv1/M_AirCompressor_Lv1.M_AirCompressor_Lv1
AirCompressor_Lv2,AirCompressor,공기 압축기,2,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/AirCompressor_Lv2.AirCompressor_Lv2,/Game/SSR/Machine/AirCompressor/Lv2/SM_AirCompressor_Lv2.SM_AirCompressor_Lv2,/Game/SSR/Machine/AirCompressor/Lv2/M_AirCompressor_Lv2.M_AirCompressor_Lv2
