rowname,form,substance,type,shape,DIsplayName,VisualColor,ImgAsset,StaticMeshAsset
wood,solid,wood,organism,,목재,"(R=0.49,G=0.31,B=0.16,A=1.0)",/Game/Assets/UIImg/Resource/wood.wood,
sawdust,solid,sawdust,organism,powder,톱밥,"(R=0.80,G=0.67,B=0.42,A=1.0)",/Game/Assets/UIImg/Resource/sawdust.sawdust,
charcoal,solid,charcoal,fuel,,목탄,"(R=0.18,G=0.18,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/charcoal.charcoal,
charcoal_powder,solid,charcoaldust,fuel,powder,목탄가루,"(R=0.15,G=0.15,B=0.15,A=1.0)",/Game/Assets/UIImg/Resource/charcoal_powder.charcoal_powder,
coal,solid,coal,fuel,ore,석탄,"(R=0.12,G=0.12,B=0.14,A=1.0)",/Game/Assets/UIImg/Resource/coal.coal,
coal_powder,solid,coaldust,fuel,powder,석탄가루,"(R=0.10,G=0.10,B=0.12,A=1.0)",/Game/Assets/UIImg/Resource/coal_powder.coal_powder,
iron_ore,solid,iron,metal,ore,철광석,"(R=0.47,G=0.43,B=0.39,A=1.0)",/Game/Assets/UIImg/Resource/iron_ore.iron_ore,/Game/Assets/Ore/iron/SM_iron_ore.SM_iron_ore
iron_ingot,solid,iron,metal,ingot,철괴,"(R=0.67,G=0.69,B=0.72,A=1.0)",/Game/Assets/UIImg/Resource/iron_ingot.iron_ingot,/Game/Assets/Ingot/iron/SM_iron_ingot.SM_iron_ingot
iron_powder,solid,iron,metal,powder,철가루,"(R=0.58,G=0.60,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/iron_powder.iron_powder,
copper_ore,solid,copper,metal,ore,구리광석,"(R=0.62,G=0.34,B=0.20,A=1.0)",/Game/Assets/UIImg/Resource/copper_ore.copper_ore,/Game/Assets/Ore/copper/SM_copper_ore.SM_copper_ore
copper_ingot,solid,copper,metal,ingot,구리괴,"(R=0.84,G=0.49,B=0.22,A=1.0)",/Game/Assets/UIImg/Resource/copper_ingot.copper_ingot,/Game/Assets/Ore/copper/SM_copper_ore.SM_copper_ingot
copper_powder,solid,copper,metal,powder,구리가루,"(R=0.76,G=0.42,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/copper_powder.copper_powder,
zinc_ore,solid,zinc,metal,ore,아연광석,"(R=0.53,G=0.58,B=0.65,A=1.0)",/Game/Assets/UIImg/Resource/zinc_ore.zinc_ore,
zinc_ingot,solid,zinc,metal,ingot,아연괴,"(R=0.72,G=0.77,B=0.84,A=1.0)",/Game/Assets/UIImg/Resource/zinc_ingot.zinc_ingot,
zinc_powder,solid,zinc,metal,powder,아연가루,"(R=0.64,G=0.69,B=0.76,A=1.0)",/Game/Assets/UIImg/Resource/zinc_powder.zinc_powder,
lead_ore,solid,lead,metal,ore,납광석,"(R=0.32,G=0.34,B=0.39,A=1.0)",/Game/Assets/UIImg/Resource/lead_ore.lead_ore,
lead_ingot,solid,lead,metal,ingot,납괴,"(R=0.47,G=0.50,B=0.58,A=1.0)",/Game/Assets/UIImg/Resource/lead_ingot.lead_ingot,
lead_powder,solid,lead,metal,powder,납가루,"(R=0.40,G=0.42,B=0.49,A=1.0)",/Game/Assets/UIImg/Resource/lead_powder.lead_powder,
tin_ore,solid,tin,metal,ore,주석광석,"(R=0.56,G=0.58,B=0.61,A=1.0)",/Game/Assets/UIImg/Resource/tin_ore.tin_ore,/Game/Assets/Ore/tin/SM_tin_ore.SM_tin_ore
tin_ingot,solid,tin,metal,ingot,주석괴,"(R=0.79,G=0.82,B=0.86,A=1.0)",/Game/Assets/UIImg/Resource/tin_ingot.tin_ingot,/Game/Assets/Ingot/tin/SM_tin_ingot.SM_tin_ingot
tin_powder,solid,tin,metal,powder,주석가루,"(R=0.70,G=0.73,B=0.78,A=1.0)",/Game/Assets/UIImg/Resource/tin_powder.tin_powder,
aluminum_ore,solid,aluminum,metal,ore,알루미늄광석,"(R=0.59,G=0.61,B=0.66,A=1.0)",/Game/Assets/UIImg/Resource/auminum_ore.auminum_ore,/Game/Assets/Ore/aluminum/SM_aluminum_ore.SM_aluminum_ore
aluminum_ingot,solid,aluminum,metal,ingot,알루미늄괴,"(R=0.84,G=0.86,B=0.90,A=1.0)",/Game/Assets/UIImg/Resource/aluminum_ingot.aluminum_ingot,/Game/Assets/Ore/aluminum/SM_aluminum_ore.SM_aluminum_ingot
aluminum_powder,solid,aluminum,metal,powder,알루미늄가루,"(R=0.75,G=0.77,B=0.81,A=1.0)",/Game/Assets/UIImg/Resource/aluminum_powder.aluminum_powder,
nickel_ore,solid,nickel,metal,ore,니켈광석,"(R=0.53,G=0.58,B=0.52,A=1.0)",/Game/Assets/UIImg/Resource/nickel_ore.nickel_ore,
nickel_ingot,solid,nickel,metal,ingot,니켈괴,"(R=0.72,G=0.77,B=0.71,A=1.0)",/Game/Assets/UIImg/Resource/nickel_ingot.nickel_ingot,
nickel_powder,solid,nickel,metal,powder,니켈가루,"(R=0.64,G=0.69,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/nickel_powder.nickel_powder,
tungsten_ore,solid,tungsten,metal,ore,텅스텐광석,"(R=0.28,G=0.30,B=0.34,A=1.0)",/Game/Assets/UIImg/Resource/tungsten_ore.tungsten_ore,/Game/Assets/Ore/tungsten/SM_tungsten_ore.SM_tungsten_ore
tungsten_ingot,solid,tungsten,metal,ingot,텅스텐괴,"(R=0.43,G=0.45,B=0.50,A=1.0)",/Game/Assets/UIImg/Resource/tungsten_ingot.tungsten_ingot,/Game/Assets/Ingot/tungsten/SM_tungsten_ingot.SM_tungsten_ingot
tungsten_powder,solid,tungsten,metal,powder,텅스텐가루,"(R=0.35,G=0.37,B=0.42,A=1.0)",/Game/Assets/UIImg/Resource/tungsten_powder.tungsten_powder,
titanium_ore,solid,titanium,metal,ore,티타늄광석,"(R=0.45,G=0.49,B=0.57,A=1.0)",/Game/Assets/UIImg/Resource/titanium_ore.titanium_ore,/Game/Assets/Ore/titanium/SM_titanium_ore.SM_titanium_ore
titanium_ingot,solid,titanium,metal,ingot,티타늄괴,"(R=0.73,G=0.78,B=0.86,A=1.0)",/Game/Assets/UIImg/Resource/titanium_ingot.titanium_ingot,/Game/Assets/Ingot/titanium/SM_titanium_ingot.SM_titanium_ingot
titanium_powder,solid,titanium,metal,powder,티타늄가루,"(R=0.63,G=0.68,B=0.76,A=1.0)",/Game/Assets/UIImg/Resource/titanium_powder.titanium_powder,
magnesium_ore,solid,magnesium,metal,ore,마그네슘광석,"(R=0.62,G=0.67,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/magnesium_ore.magnesium_ore,
magnesium_ingot,solid,magnesium,metal,ingot,마그네슘괴,"(R=0.82,G=0.86,B=0.83,A=1.0)",/Game/Assets/UIImg/Resource/magnesium_ingot.magnesium_ingot,
magnesium_powder,solid,magnesium,metal,powder,마그네슘가루,"(R=0.74,G=0.78,B=0.75,A=1.0)",/Game/Assets/UIImg/Resource/magnesium_powder.magnesium_powder,
