quest_id,trigger_type,line_order,speaker,dialogue
TUT_BASIC_001,on_start,1,SCAII,"기초 이동 기능을 확인하겠습니다."
TUT_BASIC_001,on_start,2,SCAII,"천천히 움직여주세요."
TUT_BASIC_001,on_complete,1,SCAII,"이동 상태를 확인했습니다."
TUT_BASIC_001,on_complete,2,SCAII,"이제 점프 동작을 점검하겠습니다."
TUT_BASIC_002,on_start,1,SCAII,"지형 적응 능력을 확인하겠습니다."
TUT_BASIC_002,on_start,2,SCAII,"점프를 시도해주세요."
TUT_BASIC_002,on_complete,1,SCAII,"점프 기능 정상."
TUT_BASIC_002,on_complete,2,SCAII,"다음은 달리기 동작입니다."
TUT_BASIC_003,on_start,1,SCAII,"좋습니다."
TUT_BASIC_003,on_start,2,SCAII,"이제 단거리 기동 상태를 확인하겠습니다."
TUT_BASIC_003,on_complete,1,SCAII,"기본적인 신체 기능에는 문제가 없습니다."
TUT_BASIC_003,on_complete,2,SCAII,"다음 단계로 진행하겠습니다."
TUT_BASIC_004,on_start,1,SCAII,"지급된 물자를 확인하겠습니다."
TUT_BASIC_004,on_start,2,SCAII,"인벤토리를 열어주세요."
TUT_BASIC_004,on_complete,1,SCAII,"물자 확인을 마쳤습니다."
TUT_BASIC_004,on_complete,2,SCAII,"필요한 자원은 이곳에서 관리할 수 있습니다."
TUT_BASIC_005,on_start,1,SCAII,"확인했습니다."
TUT_BASIC_005,on_start,2,SCAII,"이제 인벤토리를 닫고 다음 절차로 이동하겠습니다."
TUT_BASIC_005,on_complete,1,SCAII,"좋습니다."
TUT_BASIC_005,on_complete,2,SCAII,"이제 기지 구축을 시작하겠습니다."
TUT_BUILD_001,on_start,1,SCAII,"건설을 진행하려면 빌드 모드 전환이 필요합니다."
TUT_BUILD_001,on_start,2,SCAII,"빌드 모드로 전환해주세요."
TUT_BUILD_001,on_complete,1,SCAII,"빌드 모드 진입을 확인했습니다."
TUT_BUILD_001,on_complete,2,SCAII,"이제 화면 회전 조작을 확인하겠습니다."
TUT_BUILD_002,on_start,1,SCAII,"건설 중에는 시점을 회전해 주변을 더 쉽게 확인할 수 있습니다."
TUT_BUILD_002,on_start,2,SCAII,"Q를 눌러 화면을 왼쪽으로 회전해주세요."
TUT_BUILD_002,on_complete,1,SCAII,"왼쪽 회전을 확인했습니다."
TUT_BUILD_002,on_complete,2,SCAII,"이번에는 반대 방향으로 회전하겠습니다."
TUT_BUILD_003,on_start,1,SCAII,"이번에는 반대 방향 회전을 확인하겠습니다."
TUT_BUILD_003,on_start,2,SCAII,"E를 눌러 화면을 오른쪽으로 회전해주세요."
TUT_BUILD_003,on_complete,1,SCAII,"시점 회전 기능 정상."
TUT_BUILD_003,on_complete,2,SCAII,"이제 설치물 방향을 조정하겠습니다."
TUT_BUILD_004,on_start,1,SCAII,"설비 방향은 이후의 입출력 배치에 영향을 줍니다."
TUT_BUILD_004,on_start,2,SCAII,"R을 눌러 설치물 방향을 회전해주세요."
TUT_BUILD_004,on_complete,1,SCAII,"설치물 회전을 확인했습니다."
TUT_BUILD_004,on_complete,2,SCAII,"이제 철거 기능을 확인하겠습니다."
TUT_BUILD_005,on_start,1,SCAII,"불필요한 잔해는 자재로 재활용할 수 있습니다."
TUT_BUILD_005,on_start,2,SCAII,"철거 모드로 전환해주세요."
TUT_BUILD_005,on_complete,1,SCAII,"철거 모드 진입을 확인했습니다."
TUT_BUILD_005,on_complete,2,SCAII,"탈출 포드를 바로 철거해주세요."
TUT_BUILD_006,on_start,1,SCAII,"가장 가까운 확보 가능한 자재는 탈출 포드 잔해입니다."
TUT_BUILD_006,on_start,2,SCAII,"탈출 포드를 철거해 자재를 회수해주세요."
TUT_BUILD_006,on_complete,1,SCAII,"자재 회수를 확인했습니다."
TUT_BUILD_006,on_complete,2,SCAII,"이제 채굴 설비를 준비하겠습니다."
TUT_MINING_001,on_start,1,SCAII,"철 광석 확보를 위해 채굴기를 준비해주세요."
TUT_MINING_001,on_start,2,SCAII,"하단 UI 또는 단축키를 이용하면 됩니다."
TUT_MINING_001,on_complete,1,SCAII,"채굴기 선택을 확인했습니다."
TUT_MINING_001,on_complete,2,SCAII,"이제 철 광맥 옆의 설치 가능 위치를 확인해주세요."
TUT_MINING_002,on_start,1,SCAII,"채굴기는 철 광맥 바로 위가 아니라 옆에 설치되어야 합니다."
TUT_MINING_002,on_start,2,SCAII,"설치 가능한 위치로 미리보기가 표시되는 지점을 확인해주세요."
TUT_MINING_002,on_complete,1,SCAII,"채굴기 설치 가능 위치를 확인했습니다."
TUT_MINING_002,on_complete,2,SCAII,"이제 그 위치에 채굴기를 설치해주세요."
TUT_MINING_003,on_start,1,SCAII,"확인한 위치에 채굴기를 배치하겠습니다."
TUT_MINING_003,on_start,2,SCAII,"철 광맥 옆에 채굴기를 설치해주세요."
TUT_MINING_003,on_complete,1,SCAII,"채굴기 설치를 확인했습니다."
TUT_MINING_003,on_complete,2,SCAII,"하지만 전력 공급이 필요합니다."
TUT_POWER_001,on_start,1,SCAII,"설비는 전력 없이는 작동하지 않습니다."
TUT_POWER_001,on_start,2,SCAII,"발전소를 선택해주세요."
TUT_POWER_001,on_complete,1,SCAII,"발전소 선택을 확인했습니다."
TUT_POWER_001,on_complete,2,SCAII,"이제 설치를 진행해주세요."
TUT_POWER_002,on_start,1,SCAII,"발전소를 설치해 전력 생산 기반을 확보하겠습니다."
TUT_POWER_002,on_start,2,SCAII,"설치를 완료해주세요."
TUT_POWER_002,on_complete,1,SCAII,"전력 생산 기반이 확보되었습니다."
TUT_POWER_002,on_complete,2,SCAII,"이제 송전 설비를 준비하겠습니다."
TUT_POWER_003,on_start,1,SCAII,"전력은 송전탑을 통해 주변 설비로 분배됩니다."
TUT_POWER_003,on_start,2,SCAII,"송전탑을 선택해주세요."
TUT_POWER_003,on_complete,1,SCAII,"송전탑 선택을 확인했습니다."
TUT_POWER_003,on_complete,2,SCAII,"채굴기 근처에 바로 설치해주세요."
TUT_POWER_004,on_start,1,SCAII,"송전탑을 설치해 전력 전달 준비를 마치겠습니다."
TUT_POWER_004,on_start,2,SCAII,"설치를 완료해주세요."
TUT_POWER_004,on_complete,1,SCAII,"송전탑 설치를 확인했습니다."
TUT_POWER_004,on_complete,2,SCAII,"이제 설비를 연결하겠습니다."
TUT_POWER_005,on_start,1,SCAII,"발전소에서 송전선을 끌어오세요."
TUT_POWER_005,on_start,2,SCAII,"연결을 시작해주세요."
TUT_POWER_005,on_complete,1,SCAII,"연결 시작을 확인했습니다."
TUT_POWER_005,on_complete,2,SCAII,"송전탑까지 연결을 마무리해주세요."
TUT_POWER_006,on_start,1,SCAII,"발전소와 송전탑을 송전선으로 연결해주세요."
TUT_POWER_006,on_start,2,SCAII,"연결이 완료되면 송전탑이 활성화됩니다."
TUT_POWER_006,on_complete,1,SCAII,"송전 연결을 확인했습니다."
TUT_POWER_006,on_complete,2,SCAII,"이제 채굴된 광석을 창고로 회수하겠습니다."
TUT_LOGI_001,on_start,1,SCAII,"채굴기에서 나온 광석을 회수하려면 창고 포트가 필요합니다."
TUT_LOGI_001,on_start,2,SCAII,"창고 포트를 선택해주세요."
TUT_LOGI_001,on_complete,1,SCAII,"창고 포트 선택을 확인했습니다."
TUT_LOGI_001,on_complete,2,SCAII,"이제 창고 포트를 설치해주세요."
TUT_LOGI_002,on_start,1,SCAII,"이 위치의 창고 포트는 들어오는 물품을 자동으로 창고에 저장합니다."
TUT_LOGI_002,on_start,2,SCAII,"별도의 출력 자원 설정은 필요하지 않습니다."
TUT_LOGI_002,on_complete,1,SCAII,"창고 포트 설치를 확인했습니다."
TUT_LOGI_002,on_complete,2,SCAII,"이제 채굴기와 창고 포트를 연결하겠습니다."
TUT_LOGI_003,on_start,1,SCAII,"광석 운반에는 컨베이어를 사용합니다."
TUT_LOGI_003,on_start,2,SCAII,"컨베이어를 선택해주세요."
TUT_LOGI_003,on_complete,1,SCAII,"컨베이어 선택을 확인했습니다."
TUT_LOGI_003,on_complete,2,SCAII,"채굴기에서 창고 포트까지 연결해주세요."
TUT_LOGI_004,on_start,1,SCAII,"채굴기에서 창고 포트까지 컨베이어를 연결해주세요."
TUT_LOGI_004,on_start,2,SCAII,"연결이 완료되면 광석이 자동으로 이동합니다."
TUT_LOGI_004,on_complete,1,SCAII,"컨베이어 연결을 확인했습니다."
TUT_LOGI_004,on_complete,2,SCAII,"이제 창고 저장 여부를 확인하겠습니다."
TUT_LOGI_005,on_start,1,SCAII,"창고 포트로 들어온 광석은 자동으로 창고에 저장됩니다."
TUT_LOGI_005,on_start,2,SCAII,"철 광석이 창고에 들어오는지 확인해주세요."
TUT_LOGI_005,on_complete,1,SCAII,"철 광석이 창고에 저장된 것을 확인했습니다."
TUT_LOGI_005,on_complete,2,SCAII,"이제 제련용 자원을 충분히 확보하겠습니다."
TUT_SMELT_001,on_start,1,SCAII,"제련을 시작하기 전에 철 광석을 조금 더 확보하겠습니다."
TUT_SMELT_001,on_start,2,SCAII,"철 광석 10개를 모아주세요."
TUT_SMELT_001,on_complete,1,SCAII,"제련에 필요한 철 광석이 확보되었습니다."
TUT_SMELT_001,on_complete,2,SCAII,"하지만 현재 발전기 출력으로는 채굴기와 제련기를 함께 가동하기 어렵습니다."
TUT_POWER_007,on_start,1,SCAII,"채굴기와 제련기는 각각 전력 10을 사용합니다."
TUT_POWER_007,on_start,2,SCAII,"안정적인 가동을 위해 발전소를 하나 더 준비해주세요."
TUT_POWER_007,on_complete,1,SCAII,"추가 발전소 선택을 확인했습니다."
TUT_POWER_007,on_complete,2,SCAII,"이제 발전소를 설치해 전력 여유를 확보해주세요."
TUT_POWER_008,on_start,1,SCAII,"추가 발전소를 설치하면 채굴기와 제련기를 동시에 운용할 수 있습니다."
TUT_POWER_008,on_start,2,SCAII,"발전소 1기를 더 설치해주세요."
TUT_POWER_008,on_complete,1,SCAII,"추가 발전소 설치를 확인했습니다."
TUT_POWER_008,on_complete,2,SCAII,"이제 제련기를 설치하겠습니다."
TUT_SMELT_002,on_start,1,SCAII,"채굴한 광석은 제련기를 통해 철 주괴로 가공할 수 있습니다."
TUT_SMELT_002,on_start,2,SCAII,"활성화된 송전탑 범위 안에 제련기를 설치해주세요."
TUT_SMELT_002,on_complete,1,SCAII,"제련기 설치를 확인했습니다."
TUT_SMELT_002,on_complete,2,SCAII,"이제 창고에서 철 광석을 꺼내 제련기로 보내겠습니다."
TUT_LOGI_006,on_start,1,SCAII,"제련기에 광석을 공급하려면 창고 포트가 필요합니다."
TUT_LOGI_006,on_start,2,SCAII,"창고 포트를 선택해주세요."
TUT_LOGI_006,on_complete,1,SCAII,"창고 포트 선택을 확인했습니다."
TUT_LOGI_006,on_complete,2,SCAII,"제련기 입력 근처에 설치해주세요."
TUT_LOGI_007,on_start,1,SCAII,"이 위치의 창고 포트는 창고의 물품을 외부 설비로 보낼 수 있습니다."
TUT_LOGI_007,on_start,2,SCAII,"제련기 입력 포트 근처에 설치해주세요."
TUT_LOGI_007,on_complete,1,SCAII,"창고 포트 설치를 확인했습니다."
TUT_LOGI_007,on_complete,2,SCAII,"이제 철 광석을 보낼 자원으로 선택해주세요."
TUT_LOGI_008,on_start,1,SCAII,"창고 포트가 내보낼 자원을 철 광석으로 설정해주세요."
TUT_LOGI_008,on_complete,1,SCAII,"자원 설정을 확인했습니다."
TUT_LOGI_008,on_complete,2,SCAII,"컨베이어를 준비해주세요."
TUT_LOGI_009,on_start,1,SCAII,"창고 포트에서 제련기까지 물류를 연결하겠습니다."
TUT_LOGI_009,on_start,2,SCAII,"컨베이어를 선택해주세요."
TUT_LOGI_009,on_complete,1,SCAII,"컨베이어 선택을 확인했습니다."
TUT_LOGI_009,on_complete,2,SCAII,"이제 제련기까지 연결해주세요."
TUT_LOGI_010,on_start,1,SCAII,"창고 포트와 제련기를 컨베이어로 연결해주세요."
TUT_LOGI_010,on_start,2,SCAII,"연결이 완료되면 광석이 자동으로 투입됩니다."
TUT_LOGI_010,on_complete,1,SCAII,"컨베이어 연결을 확인했습니다."
TUT_LOGI_010,on_complete,2,SCAII,"이제 생산된 철 주괴를 다시 창고로 회수하겠습니다."
TUT_LOGI_011,on_start,1,SCAII,"제련기에서 나온 철 주괴를 보관하려면 창고 포트가 하나 더 필요합니다."
TUT_LOGI_011,on_start,2,SCAII,"창고 포트를 선택해주세요."
TUT_LOGI_011,on_complete,1,SCAII,"창고 포트 선택을 확인했습니다."
TUT_LOGI_011,on_complete,2,SCAII,"제련기 출력 근처에 설치해주세요."
TUT_LOGI_012,on_start,1,SCAII,"이 창고 포트는 제련기에서 나온 결과물을 회수하는 위치가 됩니다."
TUT_LOGI_012,on_start,2,SCAII,"제련기 출력 포트 근처에 설치해주세요."
TUT_LOGI_012,on_complete,1,SCAII,"창고 포트 설치를 확인했습니다."
TUT_LOGI_012,on_complete,2,SCAII,"이제 결과물 운반용 컨베이어를 준비하겠습니다."
TUT_LOGI_013,on_start,1,SCAII,"제련기와 창고 포트를 연결하려면 컨베이어가 필요합니다."
