MachineName,MachineType,Level,CostType,CostQty,Durability,Power,InputPortCnt,InputBufCnt,OutputPortCnt,OutputBufCnt,Xlen,Ylen,ImgAsset
Smelter_Lv1,Smelter,1,iron_ingot,10,1000,10,1,1,1,1,3,3,
Smelter_Lv2,Smelter,2,iron_ingot,10,1000,10,1,1,1,1,3,3,
Smelter_Lv3,Smelter,3,iron_ingot,10,1000,10,1,1,1,1,3,3,
Grinder_Lv1,Grinder,1,iron_ingot,10,1000,10,1,1,1,1,3,3,
Grinder_Lv2,Grinder,2,iron_ingot,10,1000,10,1,1,1,1,3,3,
Grinder_Lv3,Grinder,3,iron_ingot,10,1000,10,1,1,1,1,3,3,
MinerMachine_Lv1,MinerMachine,1,iron_ingot,10,1000,10,1,1,1,1,3,3,
MinerMachine_Lv2,MinerMachine,2,iron_ingot,10,1000,10,1,1,1,1,3,3,
MinerMachine_Lv3,MinerMachine,3,iron_ingot,10,1000,10,1,1,1,1,3,3,
Pump_Lv1,Pump,1,iron_ingot,10,1000,10,1,1,1,1,3,3,
Pump_Lv2,Pump,2,iron_ingot,10,1000,10,1,1,1,1,3,3,
Pump_Lv3,Pump,3,iron_ingot,10,1000,10,1,1,1,1,3,3,
AirCompressor_Lv1,AirCompressor,1,iron_ingot,10,1000,10,1,1,1,1,3,3,
AirCompressor_Lv2,AirCompressor,2,iron_ingot,10,1000,10,1,1,1,1,3,3,
AirCompressor_Lv3,AirCompressor,3,iron_ingot,10,1000,10,1,1,1,1,3,3,
PowerPlant_Lv1,PowerPlant,1,iron_ingot,10,1000,30,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/PowerPlant.PowerPlant
PowerPlant_Lv2,PowerPlant,2,iron_ingot,10,1000,30,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/PowerPlant.PowerPlant
PowerPlant_Lv3,PowerPlant,3,iron_ingot,10,1000,30,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/PowerPlant.PowerPlant
PowerGridNode_Lv1,PowerGridNode,1,iron_ingot,10,1000,40,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/PowerGridNode.PowerGridNode
PowerGridNode_Lv2,PowerGridNode,2,iron_ingot,10,1000,40,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/PowerGridNode.PowerGridNode
PowerGridNode_Lv3,PowerGridNode,3,iron_ingot,10,1000,40,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/PowerGridNode.PowerGridNode
MagneticShield_Lv1,MagneticShield,1,iron_ingot,100,10000,100,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/MagneticShield.MagneticShield
MagneticShield_Lv2,MagneticShield,2,iron_ingot,100,10000,100,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/MagneticShield.MagneticShield
MagneticShield_Lv3,MagneticShield,3,iron_ingot,100,10000,100,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/MagneticShield.MagneticShield
Conveyor_Lv1,Conveyor,1,iron_ingot,10,1000,0,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/Conveyor.Conveyor
Conveyor_Lv2,Conveyor,2,iron_ingot,10,1000,0,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/Conveyor.Conveyor
Conveyor_Lv3,Conveyor,3,iron_ingot,10,1000,0,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/Conveyor.Conveyor
