RecipeName,MachineType,InputItem1,InputItem2,InputItem3,InputQty1,InputQty2,InputQty3,OutputItem1,OutputItem2,OutputQty1,OutputQty2,CraftingTime
Smelt_Iron,Smelter,iron_ore,,,2,,,iron_ingot,,1,,3
Crush_Iron,Grinder,iron_ingot,,,1,,,iron_powder,,2,,1.5
Smelt_Copper,Smelter,copper_ore,,,2,,,copper_ingot,,1,,3
Crush_Copper,Grinder,copper_ingot,,,1,,,copper_powder,,2,,1.5
Smelt_Zinc,Smelter,zinc_ore,,,2,,,zinc_ingot,,1,,3
Crush_Zinc,Grinder,zinc_ingot,,,1,,,zinc_powder,,2,,1.5
Smelt_Lead,Smelter,lead_ore,,,2,,,lead_ingot,,1,,3
Crush_Lead,Grinder,lead_ingot,,,1,,,lead_powder,,2,,1.5
Smelt_Tin,Smelter,tin_ore,,,2,,,tin_ingot,,1,,3
Crush_Tin,Grinder,tin_ingot,,,1,,,tin_powder,,2,,1.5
Smelt_Aluminum,Smelter,aluminum_ore,,,2,,,aluminum_ingot,,1,,3
Crush_Aluminum,Grinder,aluminum_ingot,,,1,,,aluminum_powder,,2,,1.5
Smelt_Nickel,Smelter,nickel_ore,,,2,,,nickel_ingot,,1,,3
Crush_Nickel,Grinder,nickel_ingot,,,1,,,nickel_powder,,2,,1.5
Smelt_Tungsten,Smelter,tungsten_ore,,,2,,,tungsten_ingot,,1,,3
Crush_Tungsten,Grinder,tungsten_ingot,,,1,,,tungsten_powder,,2,,1.5
Smelt_Titanium,Smelter,titanium_ore,,,2,,,titanium_ingot,,1,,3
Crush_Titanium,Grinder,titanium_ingot,,,1,,,titanium_powder,,2,,1.5
Smelt_Magnesium,Smelter,magnesium_ore,,,2,,,magnesium_ingot,,1,,3
Crush_Magnesium,Grinder,magnesium_ingot,,,1,,,magnesium_powder,,2,,1.5
Smelt_Gold,Smelter,gold_ore,,,2,,,gold_ingot,,1,,3
Crush_Gold,Grinder,gold_ingot,,,1,,,gold_powder,,2,,1.5
Smelt_Silver,Smelter,silver_ore,,,2,,,silver_ingot,,1,,3
Crush_Silver,Grinder,silver_ingot,,,1,,,silver_powder,,2,,1.5
Make_Charcoal,Smelter,wood,,,2,,,charcoal,,1,,2
Crush_Charcoal,Grinder,charcoal,,,1,,,charcoal_dust,,2,,1.5
Crush_Coal,Grinder,coal,,,1,,,coal_dust,,2,,1.5
Make_Sawdust,Grinder,wood,,,1,,,sawdust,,4,,1
Crush_Sulfur,Grinder,sulfur_ore,,,1,,,sulfur_powder,,1,,1.5
TestSSR,Grinder,ssr_ingot,ssr_ore,ssr_test,1,1,1,ssr_result,ssr_trash,1,2,1
