rowname,form,substance,type,shape
wood,solid,wood,organism,
sawdust,solid,sawdust,organism,powder
charcoal,solid,charcoal,fuel,
charcoal_dust,solid,charcoaldust,fuel,powder
coal,solid,coal,fuel,ore
coal_dust,solid,coaldust,fuel,powder
iron_ore,solid,iron,metal,ore
iron_ingot,solid,iron,metal,ingot
iron_powder,solid,iron,metal,powder
copper_ore,solid,copper,metal,ore
copper_ingot,solid,copper,metal,ingot
copper_powder,solid,copper,metal,powder
zinc_ore,solid,zinc,metal,ore
zinc_ingot,solid,zinc,metal,ingot
zinc_powder,solid,zinc,metal,powder
lead_ore,solid,lead,metal,ore
lead_ingot,solid,lead,metal,ingot
lead_powder,solid,lead,metal,powder
tin_ore,solid,tin,metal,ore
tin_ingot,solid,tin,metal,ingot
tin_powder,solid,tin,metal,powder
aluminum_ore,solid,aluminum,metal,ore
aluminum_ingot,solid,aluminum,metal,ingot
aluminum_powder,solid,aluminum,metal,powder
nickel_ore,solid,nickel,metal,ore
nickel_ingot,solid,nickel,metal,ingot
nickel_powder,solid,nickel,metal,powder
tungsten_ore,solid,tungsten,metal,ore
tungsten_ingot,solid,tungsten,metal,ingot
tungsten_powder,solid,tungsten,metal,powder
titanium_ore,solid,titanium,metal,ore
titanium_ingot,solid,titanium,metal,ingot
titanium_powder,solid,titanium,metal,powder
magnesium_ore,solid,magnesium,metal,ore
magnesium_ingot,solid,magnesium,metal,ingot
magnesium_powder,solid,magnesium,metal,powder
gold_ore,solid,gold,metal,ore
gold_ingot,solid,gold,metal,ingot
gold_powder,solid,gold,metal,powder
silver_ore,solid,silver,metal,ore
silver_ingot,solid,silver,metal,ingot
silver_powder,solid,silver,metal,powder
uranium,solid,uranium,metal,
sulfur_ore,solid,sulfur,nonmetal,ore
sulfur_powder,solid,sulfur,nonmetal,powder
sand,solid,sand,nonmetal,powder
glass,solid,glass,nonmetal,
water,liquid,water,,
waste_water,liquid,wastewater,,
acid,liquid,acid,,
petrolium,liquid,petrolium,fuel,
mercury,liquid,mercury,metal,
oxygen,gas,oxygen,,
hydrogen,gas,hydrogen,,
nitrogen,gas,nitrogen,,
helium,gas,helium,,
